date,immigration,State,DMA,Full
2018-11-01,31,MO,Kansas City ,Kansas City MO
2018-12-01,27,MO,Kansas City ,Kansas City MO
2019-01-01,26,MO,Kansas City ,Kansas City MO
2019-02-01,26,MO,Kansas City ,Kansas City MO
2019-03-01,20,MO,Kansas City ,Kansas City MO
2019-04-01,20,MO,Kansas City ,Kansas City MO
2019-05-01,23,MO,Kansas City ,Kansas City MO
2019-06-01,19,MO,Kansas City ,Kansas City MO
2019-07-01,26,MO,Kansas City ,Kansas City MO
2019-08-01,21,MO,Kansas City ,Kansas City MO
2019-09-01,24,MO,Kansas City ,Kansas City MO
2019-10-01,23,MO,Kansas City ,Kansas City MO
2019-11-01,18,MO,Kansas City ,Kansas City MO
2019-12-01,16,MO,Kansas City ,Kansas City MO
2020-01-01,19,MO,Kansas City ,Kansas City MO
2020-02-01,22,MO,Kansas City ,Kansas City MO
2020-03-01,15,MO,Kansas City ,Kansas City MO
2020-04-01,18,MO,Kansas City ,Kansas City MO
2020-05-01,11,MO,Kansas City ,Kansas City MO
2020-06-01,14,MO,Kansas City ,Kansas City MO
2020-07-01,15,MO,Kansas City ,Kansas City MO
2020-08-01,18,MO,Kansas City ,Kansas City MO
2020-09-01,20,MO,Kansas City ,Kansas City MO
2020-10-01,18,MO,Kansas City ,Kansas City MO
2020-11-01,14,MO,Kansas City ,Kansas City MO
2020-12-01,8,MO,Kansas City ,Kansas City MO
