,date,immigration enforcement,State
296,2011-09-01,14,AZ
297,2011-10-01,17,AZ
298,2011-11-01,13,AZ
299,2011-12-01,11,AZ
300,2012-01-01,14,AZ
301,2012-02-01,14,AZ
302,2012-03-01,11,AZ
303,2012-04-01,6,AZ
304,2012-05-01,10,AZ
305,2012-06-01,12,AZ
306,2012-07-01,0,AZ
307,2012-08-01,7,AZ
308,2012-09-01,4,AZ
309,2012-10-01,4,AZ
310,2012-11-01,7,AZ
311,2012-12-01,8,AZ
312,2013-01-01,16,AZ
313,2013-02-01,6,AZ
314,2013-03-01,0,AZ
315,2013-04-01,5,AZ
316,2013-05-01,3,AZ
317,2013-06-01,0,AZ
318,2013-07-01,12,AZ
319,2013-08-01,8,AZ
320,2013-09-01,5,AZ
321,2013-10-01,5,AZ
322,2013-11-01,0,AZ
323,2013-12-01,0,AZ
324,2014-01-01,3,AZ
325,2014-02-01,3,AZ
326,2014-03-01,0,AZ
327,2014-04-01,3,AZ
328,2014-05-01,0,AZ
329,2014-06-01,0,AZ
330,2014-07-01,7,AZ
331,2014-08-01,4,AZ
332,2014-09-01,6,AZ
333,2014-10-01,0,AZ
334,2014-11-01,0,AZ
335,2014-12-01,6,AZ
336,2015-01-01,4,AZ
337,2015-02-01,5,AZ
338,2015-03-01,0,AZ
339,2015-04-01,7,AZ
340,2015-05-01,5,AZ
341,2015-06-01,3,AZ
342,2015-07-01,0,AZ
343,2015-08-01,0,AZ
344,2015-09-01,0,AZ
345,2015-10-01,0,AZ
346,2015-11-01,0,AZ
347,2015-12-01,0,AZ
348,2016-01-01,0,AZ
349,2016-02-01,4,AZ
350,2016-03-01,0,AZ
351,2016-04-01,4,AZ
352,2016-05-01,2,AZ
353,2016-06-01,6,AZ
354,2016-07-01,0,AZ
355,2016-08-01,6,AZ
356,2016-09-01,3,AZ
357,2016-10-01,2,AZ
358,2016-11-01,2,AZ
359,2016-12-01,0,AZ
360,2017-01-01,3,AZ
361,2017-02-01,5,AZ
362,2017-03-01,5,AZ
363,2017-04-01,4,AZ
364,2017-05-01,3,AZ
365,2017-06-01,2,AZ
366,2017-07-01,12,AZ
367,2017-08-01,6,AZ
368,2017-09-01,0,AZ
369,2017-10-01,0,AZ
370,2017-11-01,3,AZ
371,2017-12-01,3,AZ
372,2018-01-01,1,AZ
373,2018-02-01,5,AZ
374,2018-03-01,3,AZ
375,2018-04-01,3,AZ
376,2018-05-01,3,AZ
377,2018-06-01,4,AZ
378,2018-07-01,4,AZ
379,2018-08-01,4,AZ
380,2018-09-01,0,AZ
381,2018-10-01,0,AZ
382,2018-11-01,0,AZ
383,2018-12-01,2,AZ
384,2019-01-01,2,AZ
385,2019-02-01,11,AZ
386,2019-03-01,2,AZ
387,2019-04-01,3,AZ
388,2019-05-01,1,AZ
389,2019-06-01,2,AZ
390,2019-07-01,0,AZ
391,2019-08-01,2,AZ
392,2019-09-01,2,AZ
393,2019-10-01,0,AZ
394,2019-11-01,3,AZ
395,2019-12-01,0,AZ
396,2020-01-01,2,AZ
397,2020-02-01,1,AZ
398,2020-03-01,2,AZ
399,2020-04-01,3,AZ
400,2020-05-01,5,AZ
401,2020-06-01,0,AZ
402,2020-07-01,3,AZ
403,2020-08-01,5,AZ
404,2020-09-01,2,AZ
405,2020-10-01,2,AZ
406,2020-11-01,0,AZ
407,2020-12-01,0,AZ
408,2004-01-01,0,WA
409,2004-02-01,0,WA
410,2004-03-01,0,WA
411,2004-04-01,96,WA
412,2004-05-01,0,WA
413,2004-06-01,0,WA
414,2004-07-01,0,WA
415,2004-08-01,0,WA
416,2004-09-01,0,WA
417,2004-10-01,0,WA
418,2004-11-01,0,WA
419,2004-12-01,0,WA
420,2005-01-01,0,WA
421,2005-02-01,0,WA
422,2005-03-01,0,WA
423,2005-04-01,0,WA
424,2005-05-01,0,WA
425,2005-06-01,0,WA
426,2005-07-01,0,WA
427,2005-08-01,72,WA
428,2005-09-01,51,WA
429,2005-10-01,0,WA
430,2005-11-01,0,WA
431,2005-12-01,0,WA
432,2006-01-01,0,WA
433,2006-02-01,0,WA
434,2006-03-01,71,WA
435,2006-04-01,0,WA
436,2006-05-01,100,WA
437,2006-06-01,0,WA
438,2006-07-01,0,WA
439,2006-08-01,0,WA
440,2006-09-01,0,WA
441,2006-10-01,0,WA
442,2006-11-01,0,WA
443,2006-12-01,33,WA
444,2007-01-01,0,WA
445,2007-02-01,47,WA
446,2007-03-01,0,WA
447,2007-04-01,0,WA
448,2007-05-01,0,WA
449,2007-06-01,76,WA
450,2007-07-01,35,WA
451,2007-08-01,71,WA
452,2007-09-01,0,WA
453,2007-10-01,25,WA
454,2007-11-01,0,WA
455,2007-12-01,0,WA
456,2008-01-01,0,WA
457,2008-02-01,21,WA
458,2008-03-01,0,WA
459,2008-04-01,0,WA
460,2008-05-01,0,WA
461,2008-06-01,36,WA
462,2008-07-01,0,WA
463,2008-08-01,0,WA
464,2008-09-01,0,WA
465,2008-10-01,33,WA
466,2008-11-01,28,WA
467,2008-12-01,25,WA
468,2009-01-01,18,WA
469,2009-02-01,0,WA
470,2009-03-01,0,WA
471,2009-04-01,46,WA
472,2009-05-01,0,WA
473,2009-06-01,22,WA
474,2009-07-01,87,WA
475,2009-08-01,20,WA
476,2009-09-01,24,WA
477,2009-10-01,26,WA
478,2009-11-01,0,WA
479,2009-12-01,50,WA
480,2010-01-01,0,WA
481,2010-02-01,0,WA
482,2010-03-01,29,WA
483,2010-04-01,42,WA
484,2010-05-01,0,WA
485,2010-06-01,38,WA
486,2010-07-01,0,WA
487,2010-08-01,93,WA
488,2010-09-01,0,WA
489,2010-10-01,0,WA
490,2010-11-01,26,WA
491,2010-12-01,21,WA
492,2011-01-01,12,WA
493,2011-02-01,0,WA
494,2011-03-01,23,WA
495,2011-04-01,15,WA
496,2011-05-01,15,WA
497,2011-06-01,0,WA
498,2011-07-01,0,WA
499,2011-08-01,0,WA
500,2011-09-01,0,WA
501,2011-10-01,30,WA
502,2011-11-01,0,WA
503,2011-12-01,0,WA
504,2012-01-01,11,WA
505,2012-02-01,25,WA
506,2012-03-01,19,WA
507,2012-04-01,10,WA
508,2012-05-01,32,WA
509,2012-06-01,14,WA
510,2012-07-01,0,WA
511,2012-08-01,36,WA
512,2012-09-01,8,WA
513,2012-10-01,0,WA
514,2012-11-01,7,WA
515,2012-12-01,0,WA
516,2013-01-01,0,WA
517,2013-02-01,9,WA
518,2013-03-01,0,WA
519,2013-04-01,12,WA
520,2013-05-01,10,WA
521,2013-06-01,13,WA
522,2013-07-01,26,WA
523,2013-08-01,29,WA
524,2013-09-01,0,WA
525,2013-10-01,0,WA
526,2013-11-01,6,WA
527,2013-12-01,7,WA
528,2014-01-01,31,WA
529,2014-02-01,8,WA
530,2014-03-01,0,WA
531,2014-04-01,0,WA
532,2014-05-01,16,WA
533,2014-06-01,17,WA
534,2014-07-01,11,WA
535,2014-08-01,0,WA
536,2014-09-01,0,WA
537,2014-10-01,11,WA
538,2014-11-01,10,WA
539,2014-12-01,0,WA
540,2015-01-01,0,WA
541,2015-02-01,13,WA
542,2015-03-01,0,WA
543,2015-04-01,0,WA
544,2015-05-01,12,WA
545,2015-06-01,0,WA
546,2015-07-01,0,WA
547,2015-08-01,11,WA
548,2015-09-01,0,WA
549,2015-10-01,15,WA
550,2015-11-01,10,WA
551,2015-12-01,7,WA
552,2016-01-01,12,WA
553,2016-02-01,0,WA
554,2016-03-01,0,WA
555,2016-04-01,28,WA
556,2016-05-01,17,WA
557,2016-06-01,0,WA
558,2016-07-01,0,WA
559,2016-08-01,12,WA
560,2016-09-01,0,WA
561,2016-10-01,0,WA
562,2016-11-01,14,WA
563,2016-12-01,8,WA
564,2017-01-01,17,WA
565,2017-02-01,36,WA
566,2017-03-01,6,WA
567,2017-04-01,0,WA
568,2017-05-01,10,WA
569,2017-06-01,5,WA
570,2017-07-01,0,WA
571,2017-08-01,6,WA
572,2017-09-01,9,WA
573,2017-10-01,7,WA
574,2017-11-01,14,WA
575,2017-12-01,9,WA
576,2018-01-01,21,WA
577,2018-02-01,26,WA
578,2018-03-01,8,WA
579,2018-04-01,20,WA
580,2018-05-01,0,WA
581,2018-06-01,22,WA
582,2018-07-01,0,WA
583,2018-08-01,8,WA
584,2018-09-01,8,WA
585,2018-10-01,9,WA
586,2018-11-01,10,WA
587,2018-12-01,17,WA
588,2019-01-01,15,WA
589,2019-02-01,13,WA
590,2019-03-01,0,WA
591,2019-04-01,0,WA
592,2019-05-01,0,WA
593,2019-06-01,0,WA
594,2019-07-01,20,WA
595,2019-08-01,19,WA
596,2019-09-01,0,WA
597,2019-10-01,7,WA
598,2019-11-01,5,WA
599,2019-12-01,7,WA
600,2020-01-01,0,WA
601,2020-02-01,0,WA
602,2020-03-01,5,WA
603,2020-04-01,4,WA
604,2020-05-01,0,WA
605,2020-06-01,0,WA
606,2020-07-01,0,WA
607,2020-08-01,0,WA
608,2020-09-01,0,WA
609,2020-10-01,0,WA
610,2020-11-01,13,WA
611,2020-12-01,0,WA
612,2004-01-01,0,AL
613,2004-02-01,0,AL
614,2004-03-01,0,AL
615,2004-04-01,48,AL
616,2004-05-01,0,AL
617,2004-06-01,44,AL
618,2004-07-01,100,AL
619,2004-08-01,77,AL
620,2004-09-01,72,AL
621,2004-10-01,42,AL
622,2004-11-01,0,AL
623,2004-12-01,48,AL
624,2005-01-01,0,AL
625,2005-02-01,33,AL
626,2005-03-01,38,AL
627,2005-04-01,0,AL
628,2005-05-01,0,AL
629,2005-06-01,0,AL
630,2005-07-01,0,AL
631,2005-08-01,28,AL
632,2005-09-01,0,AL
633,2005-10-01,0,AL
634,2005-11-01,0,AL
635,2005-12-01,25,AL
636,2006-01-01,62,AL
637,2006-02-01,0,AL
638,2006-03-01,0,AL
639,2006-04-01,0,AL
640,2006-05-01,0,AL
641,2006-06-01,0,AL
642,2006-07-01,0,AL
643,2006-08-01,50,AL
644,2006-09-01,0,AL
645,2006-10-01,0,AL
646,2006-11-01,0,AL
647,2006-12-01,0,AL
648,2007-01-01,0,AL
649,2007-02-01,75,AL
650,2007-03-01,0,AL
651,2007-04-01,52,AL
652,2007-05-01,0,AL
653,2007-06-01,0,AL
654,2007-07-01,0,AL
655,2007-08-01,0,AL
656,2007-09-01,30,AL
657,2007-10-01,0,AL
658,2007-11-01,0,AL
659,2007-12-01,0,AL
660,2008-01-01,10,AL
661,2008-02-01,0,AL
662,2008-03-01,0,AL
663,2008-04-01,0,AL
664,2008-05-01,0,AL
665,2008-06-01,0,AL
666,2008-07-01,0,AL
667,2008-08-01,0,AL
668,2008-09-01,0,AL
669,2008-10-01,9,AL
670,2008-11-01,0,AL
671,2008-12-01,0,AL
672,2009-01-01,0,AL
673,2009-02-01,0,AL
674,2009-03-01,7,AL
675,2009-04-01,10,AL
676,2009-05-01,0,AL
677,2009-06-01,0,AL
678,2009-07-01,11,AL
679,2009-08-01,0,AL
680,2009-09-01,13,AL
681,2009-10-01,0,AL
682,2009-11-01,13,AL
683,2009-12-01,0,AL
684,2010-01-01,0,AL
685,2010-02-01,10,AL
686,2010-03-01,0,AL
687,2010-04-01,14,AL
688,2010-05-01,8,AL
689,2010-06-01,0,AL
690,2010-07-01,11,AL
691,2010-08-01,0,AL
692,2010-09-01,0,AL
693,2010-10-01,0,AL
694,2010-11-01,0,AL
695,2010-12-01,0,AL
696,2011-01-01,12,AL
697,2011-02-01,7,AL
698,2011-03-01,0,AL
699,2011-04-01,0,AL
700,2011-05-01,0,AL
701,2011-06-01,0,AL
702,2011-07-01,0,AL
703,2011-08-01,0,AL
704,2011-09-01,0,AL
705,2011-10-01,0,AL
706,2011-11-01,0,AL
707,2011-12-01,0,AL
708,2012-01-01,0,AL
709,2012-02-01,0,AL
710,2012-03-01,0,AL
711,2012-04-01,0,AL
712,2012-05-01,0,AL
713,2012-06-01,0,AL
714,2012-07-01,0,AL
715,2012-08-01,0,AL
716,2012-09-01,0,AL
717,2012-10-01,7,AL
718,2012-11-01,0,AL
719,2012-12-01,0,AL
720,2013-01-01,0,AL
721,2013-02-01,0,AL
722,2013-03-01,3,AL
723,2013-04-01,0,AL
724,2013-05-01,4,AL
725,2013-06-01,0,AL
726,2013-07-01,2,AL
727,2013-08-01,3,AL
728,2013-09-01,0,AL
729,2013-10-01,0,AL
730,2013-11-01,0,AL
731,2013-12-01,3,AL
732,2014-01-01,0,AL
733,2014-02-01,0,AL
734,2014-03-01,0,AL
735,2014-04-01,6,AL
736,2014-05-01,2,AL
737,2014-06-01,3,AL
738,2014-07-01,0,AL
739,2014-08-01,3,AL
740,2014-09-01,0,AL
741,2014-10-01,3,AL
742,2014-11-01,0,AL
743,2014-12-01,0,AL
744,2015-01-01,0,AL
745,2015-02-01,0,AL
746,2015-03-01,0,AL
747,2015-04-01,3,AL
748,2015-05-01,0,AL
749,2015-06-01,3,AL
750,2015-07-01,0,AL
751,2015-08-01,4,AL
752,2015-09-01,0,AL
753,2015-10-01,0,AL
754,2015-11-01,0,AL
755,2015-12-01,0,AL
756,2016-01-01,6,AL
757,2016-02-01,0,AL
758,2016-03-01,4,AL
759,2016-04-01,0,AL
760,2016-05-01,0,AL
761,2016-06-01,4,AL
762,2016-07-01,0,AL
763,2016-08-01,2,AL
764,2016-09-01,0,AL
765,2016-10-01,0,AL
766,2016-11-01,0,AL
767,2016-12-01,0,AL
768,2017-01-01,0,AL
769,2017-02-01,0,AL
770,2017-03-01,2,AL
771,2017-04-01,0,AL
772,2017-05-01,0,AL
773,2017-06-01,0,AL
774,2017-07-01,2,AL
775,2017-08-01,2,AL
776,2017-09-01,1,AL
777,2017-10-01,0,AL
778,2017-11-01,2,AL
779,2017-12-01,0,AL
780,2018-01-01,2,AL
781,2018-02-01,3,AL
782,2018-03-01,3,AL
783,2018-04-01,0,AL
784,2018-05-01,0,AL
785,2018-06-01,2,AL
786,2018-07-01,1,AL
787,2018-08-01,0,AL
788,2018-09-01,2,AL
789,2018-10-01,0,AL
790,2018-11-01,0,AL
791,2018-12-01,2,AL
792,2019-01-01,0,AL
793,2019-02-01,1,AL
794,2019-03-01,0,AL
795,2019-04-01,0,AL
796,2019-05-01,0,AL
797,2019-06-01,4,AL
798,2019-07-01,0,AL
799,2019-08-01,5,AL
800,2019-09-01,0,AL
801,2019-10-01,0,AL
802,2019-11-01,0,AL
803,2019-12-01,0,AL
804,2020-01-01,1,AL
805,2020-02-01,2,AL
806,2020-03-01,5,AL
807,2020-04-01,2,AL
808,2020-05-01,0,AL
809,2020-06-01,0,AL
810,2020-07-01,0,AL
811,2020-08-01,3,AL
812,2020-09-01,0,AL
813,2020-10-01,0,AL
814,2020-11-01,0,AL
815,2020-12-01,0,AL
816,2004-01-01,0,NC
817,2004-02-01,0,NC
818,2004-03-01,0,NC
819,2004-04-01,0,NC
820,2004-05-01,0,NC
821,2004-06-01,0,NC
822,2004-07-01,0,NC
823,2004-08-01,0,NC
824,2004-09-01,100,NC
825,2004-10-01,0,NC
826,2004-11-01,73,NC
827,2004-12-01,0,NC
828,2005-01-01,38,NC
829,2005-02-01,0,NC
830,2005-03-01,0,NC
831,2005-04-01,0,NC
832,2005-05-01,0,NC
833,2005-06-01,0,NC
834,2005-07-01,0,NC
835,2005-08-01,0,NC
836,2005-09-01,0,NC
837,2005-10-01,0,NC
838,2005-11-01,0,NC
839,2005-12-01,0,NC
840,2006-01-01,0,NC
841,2006-02-01,26,NC
842,2006-03-01,0,NC
843,2006-04-01,0,NC
844,2006-05-01,0,NC
845,2006-06-01,0,NC
846,2006-07-01,74,NC
847,2006-08-01,0,NC
848,2006-09-01,29,NC
849,2006-10-01,16,NC
850,2006-11-01,0,NC
851,2006-12-01,0,NC
852,2007-01-01,0,NC
853,2007-02-01,27,NC
854,2007-03-01,0,NC
855,2007-04-01,0,NC
856,2007-05-01,18,NC
857,2007-06-01,0,NC
858,2007-07-01,0,NC
859,2007-08-01,0,NC
860,2007-09-01,0,NC
861,2007-10-01,41,NC
862,2007-11-01,17,NC
863,2007-12-01,0,NC
864,2008-01-01,0,NC
865,2008-02-01,28,NC
866,2008-03-01,0,NC
867,2008-04-01,0,NC
868,2008-05-01,0,NC
869,2008-06-01,0,NC
870,2008-07-01,0,NC
871,2008-08-01,0,NC
872,2008-09-01,0,NC
873,2008-10-01,0,NC
874,2008-11-01,9,NC
875,2008-12-01,0,NC
876,2009-01-01,15,NC
877,2009-02-01,28,NC
878,2009-03-01,0,NC
879,2009-04-01,11,NC
880,2009-05-01,0,NC
881,2009-06-01,0,NC
882,2009-07-01,0,NC
883,2009-08-01,11,NC
884,2009-09-01,32,NC
885,2009-10-01,13,NC
886,2009-11-01,0,NC
887,2009-12-01,0,NC
888,2010-01-01,0,NC
889,2010-02-01,0,NC
890,2010-03-01,10,NC
891,2010-04-01,32,NC
892,2010-05-01,16,NC
893,2010-06-01,19,NC
894,2010-07-01,0,NC
895,2010-08-01,16,NC
896,2010-09-01,0,NC
897,2010-10-01,0,NC
898,2010-11-01,0,NC
899,2010-12-01,0,NC
900,2011-01-01,0,NC
901,2011-02-01,0,NC
902,2011-03-01,0,NC
903,2011-04-01,4,NC
904,2011-05-01,0,NC
905,2011-06-01,0,NC
906,2011-07-01,4,NC
907,2011-08-01,0,NC
908,2011-09-01,8,NC
909,2011-10-01,16,NC
910,2011-11-01,5,NC
911,2011-12-01,0,NC
912,2012-01-01,0,NC
913,2012-02-01,8,NC
914,2012-03-01,4,NC
915,2012-04-01,0,NC
916,2012-05-01,0,NC
917,2012-06-01,9,NC
918,2012-07-01,0,NC
919,2012-08-01,5,NC
920,2012-09-01,3,NC
921,2012-10-01,2,NC
922,2012-11-01,7,NC
923,2012-12-01,0,NC
924,2013-01-01,3,NC
925,2013-02-01,0,NC
926,2013-03-01,3,NC
927,2013-04-01,3,NC
928,2013-05-01,0,NC
929,2013-06-01,0,NC
930,2013-07-01,3,NC
931,2013-08-01,0,NC
932,2013-09-01,4,NC
933,2013-10-01,0,NC
934,2013-11-01,0,NC
935,2013-12-01,4,NC
936,2014-01-01,0,NC
937,2014-02-01,5,NC
938,2014-03-01,0,NC
939,2014-04-01,2,NC
940,2014-05-01,3,NC
941,2014-06-01,0,NC
942,2014-07-01,0,NC
943,2014-08-01,4,NC
944,2014-09-01,5,NC
945,2014-10-01,5,NC
946,2014-11-01,0,NC
947,2014-12-01,3,NC
948,2015-01-01,0,NC
949,2015-02-01,0,NC
950,2015-03-01,4,NC
951,2015-04-01,0,NC
952,2015-05-01,0,NC
953,2015-06-01,17,NC
954,2015-07-01,5,NC
955,2015-08-01,4,NC
956,2015-09-01,3,NC
957,2015-10-01,4,NC
958,2015-11-01,2,NC
959,2015-12-01,3,NC
960,2016-01-01,4,NC
961,2016-02-01,0,NC
962,2016-03-01,3,NC
963,2016-04-01,2,NC
964,2016-05-01,2,NC
965,2016-06-01,0,NC
966,2016-07-01,0,NC
967,2016-08-01,0,NC
968,2016-09-01,0,NC
969,2016-10-01,0,NC
970,2016-11-01,3,NC
971,2016-12-01,3,NC
972,2017-01-01,5,NC
973,2017-02-01,10,NC
974,2017-03-01,6,NC
975,2017-04-01,5,NC
976,2017-05-01,6,NC
977,2017-06-01,0,NC
978,2017-07-01,2,NC
979,2017-08-01,0,NC
980,2017-09-01,5,NC
981,2017-10-01,4,NC
982,2017-11-01,4,NC
