date,housing,State,DMA,Full
2019-11-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2019-12-01,39,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-01-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-02-01,36,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-03-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-04-01,32,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-05-01,37,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-06-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-07-01,44,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-08-01,38,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-09-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-10-01,41,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-11-01,42,PA,Johnstown-Altoona ,Johnstown-Altoona PA
2020-12-01,37,PA,Johnstown-Altoona ,Johnstown-Altoona PA
