date,housing,State,DMA,Full
2018-03-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-04-01,38,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-05-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-06-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-07-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-08-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-09-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-10-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-11-01,21,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2018-12-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-01-01,38,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-02-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-03-01,36,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-04-01,39,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-05-01,29,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-06-01,36,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-07-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-08-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-09-01,31,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-10-01,33,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-11-01,26,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2019-12-01,22,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-01-01,25,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-02-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-03-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-04-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-05-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-06-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-07-01,30,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-08-01,34,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-09-01,23,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-10-01,22,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-11-01,21,IN,South Bend-Elkhart ,South Bend-Elkhart IN
2020-12-01,24,IN,South Bend-Elkhart ,South Bend-Elkhart IN
