date,house for rent,State,DMA,Full
2017-08-01,49,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-09-01,36,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-10-01,38,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-11-01,38,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2017-12-01,37,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-01-01,52,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-02-01,50,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-03-01,60,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-04-01,49,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-05-01,48,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-06-01,52,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-07-01,55,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-08-01,52,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-09-01,32,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-10-01,38,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-11-01,42,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2018-12-01,38,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-01-01,54,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-02-01,56,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-03-01,56,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-04-01,45,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-05-01,55,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-06-01,50,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-07-01,65,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-08-01,47,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
