date,apartment,State,DMA,Full
2019-08-01,32,WA,Spokane ,Spokane WA
2019-09-01,30,WA,Spokane ,Spokane WA
2019-10-01,36,WA,Spokane ,Spokane WA
2019-11-01,26,WA,Spokane ,Spokane WA
2019-12-01,31,WA,Spokane ,Spokane WA
2020-01-01,32,WA,Spokane ,Spokane WA
2020-02-01,31,WA,Spokane ,Spokane WA
2020-03-01,32,WA,Spokane ,Spokane WA
2020-04-01,30,WA,Spokane ,Spokane WA
2020-05-01,29,WA,Spokane ,Spokane WA
2020-06-01,39,WA,Spokane ,Spokane WA
2020-07-01,38,WA,Spokane ,Spokane WA
2020-08-01,36,WA,Spokane ,Spokane WA
2020-09-01,32,WA,Spokane ,Spokane WA
2020-10-01,27,WA,Spokane ,Spokane WA
2020-11-01,26,WA,Spokane ,Spokane WA
2020-12-01,28,WA,Spokane ,Spokane WA
