date,apartment,State,DMA,Full
2012-09-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2012-10-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2012-11-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2012-12-01,10,IN,Ft. Wayne ,Ft. Wayne IN
2013-01-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2013-02-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2013-03-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2013-04-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2013-05-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2013-06-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2013-07-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2013-08-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2013-09-01,11,IN,Ft. Wayne ,Ft. Wayne IN
2013-10-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2013-11-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2013-12-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2014-01-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2014-02-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2014-03-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2014-04-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2014-05-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2014-06-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2014-07-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2014-08-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2014-09-01,14,IN,Ft. Wayne ,Ft. Wayne IN
2014-10-01,12,IN,Ft. Wayne ,Ft. Wayne IN
2014-11-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2014-12-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2015-01-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2015-02-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2015-03-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2015-04-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2015-05-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2015-06-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2015-07-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2015-08-01,12,IN,Ft. Wayne ,Ft. Wayne IN
2015-09-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2015-10-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2015-11-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2015-12-01,10,IN,Ft. Wayne ,Ft. Wayne IN
2016-01-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2016-02-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2016-03-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2016-04-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2016-05-01,12,IN,Ft. Wayne ,Ft. Wayne IN
2016-06-01,24,IN,Ft. Wayne ,Ft. Wayne IN
2016-07-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2016-08-01,18,IN,Ft. Wayne ,Ft. Wayne IN
