date,apartment,State,DMA,Full
2012-09-01,18,MI,Marquette ,Marquette MI
2012-10-01,20,MI,Marquette ,Marquette MI
2012-11-01,21,MI,Marquette ,Marquette MI
2012-12-01,21,MI,Marquette ,Marquette MI
2013-01-01,15,MI,Marquette ,Marquette MI
2013-02-01,0,MI,Marquette ,Marquette MI
2013-03-01,23,MI,Marquette ,Marquette MI
2013-04-01,24,MI,Marquette ,Marquette MI
2013-05-01,7,MI,Marquette ,Marquette MI
2013-06-01,13,MI,Marquette ,Marquette MI
2013-07-01,19,MI,Marquette ,Marquette MI
2013-08-01,25,MI,Marquette ,Marquette MI
2013-09-01,0,MI,Marquette ,Marquette MI
2013-10-01,6,MI,Marquette ,Marquette MI
2013-11-01,17,MI,Marquette ,Marquette MI
2013-12-01,12,MI,Marquette ,Marquette MI
2014-01-01,22,MI,Marquette ,Marquette MI
2014-02-01,18,MI,Marquette ,Marquette MI
2014-03-01,19,MI,Marquette ,Marquette MI
2014-04-01,12,MI,Marquette ,Marquette MI
2014-05-01,23,MI,Marquette ,Marquette MI
2014-06-01,11,MI,Marquette ,Marquette MI
2014-07-01,9,MI,Marquette ,Marquette MI
2014-08-01,21,MI,Marquette ,Marquette MI
2014-09-01,22,MI,Marquette ,Marquette MI
2014-10-01,15,MI,Marquette ,Marquette MI
2014-11-01,8,MI,Marquette ,Marquette MI
2014-12-01,0,MI,Marquette ,Marquette MI
2015-01-01,0,MI,Marquette ,Marquette MI
2015-02-01,23,MI,Marquette ,Marquette MI
2015-03-01,17,MI,Marquette ,Marquette MI
2015-04-01,21,MI,Marquette ,Marquette MI
2015-05-01,19,MI,Marquette ,Marquette MI
2015-06-01,18,MI,Marquette ,Marquette MI
2015-07-01,18,MI,Marquette ,Marquette MI
2015-08-01,0,MI,Marquette ,Marquette MI
2015-09-01,23,MI,Marquette ,Marquette MI
2015-10-01,24,MI,Marquette ,Marquette MI
2015-11-01,9,MI,Marquette ,Marquette MI
2015-12-01,29,MI,Marquette ,Marquette MI
2016-01-01,26,MI,Marquette ,Marquette MI
2016-02-01,15,MI,Marquette ,Marquette MI
2016-03-01,8,MI,Marquette ,Marquette MI
2016-04-01,25,MI,Marquette ,Marquette MI
2016-05-01,14,MI,Marquette ,Marquette MI
2016-06-01,28,MI,Marquette ,Marquette MI
2016-07-01,14,MI,Marquette ,Marquette MI
2016-08-01,23,MI,Marquette ,Marquette MI
2016-09-01,12,MI,Marquette ,Marquette MI
2016-10-01,13,MI,Marquette ,Marquette MI
2016-11-01,7,MI,Marquette ,Marquette MI
2016-12-01,12,MI,Marquette ,Marquette MI
2017-01-01,27,MI,Marquette ,Marquette MI
2017-02-01,29,MI,Marquette ,Marquette MI
2017-03-01,30,MI,Marquette ,Marquette MI
2017-04-01,22,MI,Marquette ,Marquette MI
2017-05-01,14,MI,Marquette ,Marquette MI
2017-06-01,20,MI,Marquette ,Marquette MI
2017-07-01,13,MI,Marquette ,Marquette MI
2017-08-01,18,MI,Marquette ,Marquette MI
2017-09-01,16,MI,Marquette ,Marquette MI
2017-10-01,13,MI,Marquette ,Marquette MI
2017-11-01,15,MI,Marquette ,Marquette MI
2017-12-01,11,MI,Marquette ,Marquette MI
2018-01-01,16,MI,Marquette ,Marquette MI
2018-02-01,16,MI,Marquette ,Marquette MI
