date,apartment,State,DMA,Full
2015-03-01,49,PA,Pittsburgh ,Pittsburgh PA
2015-04-01,48,PA,Pittsburgh ,Pittsburgh PA
2015-05-01,52,PA,Pittsburgh ,Pittsburgh PA
2015-06-01,49,PA,Pittsburgh ,Pittsburgh PA
2015-07-01,47,PA,Pittsburgh ,Pittsburgh PA
2015-08-01,43,PA,Pittsburgh ,Pittsburgh PA
2015-09-01,34,PA,Pittsburgh ,Pittsburgh PA
2015-10-01,32,PA,Pittsburgh ,Pittsburgh PA
2015-11-01,36,PA,Pittsburgh ,Pittsburgh PA
2015-12-01,37,PA,Pittsburgh ,Pittsburgh PA
2016-01-01,41,PA,Pittsburgh ,Pittsburgh PA
2016-02-01,48,PA,Pittsburgh ,Pittsburgh PA
2016-03-01,43,PA,Pittsburgh ,Pittsburgh PA
2016-04-01,43,PA,Pittsburgh ,Pittsburgh PA
2016-05-01,45,PA,Pittsburgh ,Pittsburgh PA
2016-06-01,44,PA,Pittsburgh ,Pittsburgh PA
2016-07-01,45,PA,Pittsburgh ,Pittsburgh PA
2016-08-01,44,PA,Pittsburgh ,Pittsburgh PA
2016-09-01,34,PA,Pittsburgh ,Pittsburgh PA
2016-10-01,39,PA,Pittsburgh ,Pittsburgh PA
2016-11-01,34,PA,Pittsburgh ,Pittsburgh PA
2016-12-01,34,PA,Pittsburgh ,Pittsburgh PA
2017-01-01,38,PA,Pittsburgh ,Pittsburgh PA
2017-02-01,44,PA,Pittsburgh ,Pittsburgh PA
2017-03-01,44,PA,Pittsburgh ,Pittsburgh PA
2017-04-01,42,PA,Pittsburgh ,Pittsburgh PA
2017-05-01,41,PA,Pittsburgh ,Pittsburgh PA
2017-06-01,43,PA,Pittsburgh ,Pittsburgh PA
2017-07-01,48,PA,Pittsburgh ,Pittsburgh PA
2017-08-01,41,PA,Pittsburgh ,Pittsburgh PA
2017-09-01,33,PA,Pittsburgh ,Pittsburgh PA
2017-10-01,36,PA,Pittsburgh ,Pittsburgh PA
2017-11-01,37,PA,Pittsburgh ,Pittsburgh PA
2017-12-01,33,PA,Pittsburgh ,Pittsburgh PA
2018-01-01,42,PA,Pittsburgh ,Pittsburgh PA
2018-02-01,41,PA,Pittsburgh ,Pittsburgh PA
2018-03-01,42,PA,Pittsburgh ,Pittsburgh PA
2018-04-01,44,PA,Pittsburgh ,Pittsburgh PA
2018-05-01,42,PA,Pittsburgh ,Pittsburgh PA
2018-06-01,50,PA,Pittsburgh ,Pittsburgh PA
2018-07-01,50,PA,Pittsburgh ,Pittsburgh PA
2018-08-01,49,PA,Pittsburgh ,Pittsburgh PA
2018-09-01,44,PA,Pittsburgh ,Pittsburgh PA
2018-10-01,41,PA,Pittsburgh ,Pittsburgh PA
2018-11-01,37,PA,Pittsburgh ,Pittsburgh PA
2018-12-01,35,PA,Pittsburgh ,Pittsburgh PA
2019-01-01,42,PA,Pittsburgh ,Pittsburgh PA
2019-02-01,39,PA,Pittsburgh ,Pittsburgh PA
2019-03-01,42,PA,Pittsburgh ,Pittsburgh PA
2019-04-01,44,PA,Pittsburgh ,Pittsburgh PA
2019-05-01,46,PA,Pittsburgh ,Pittsburgh PA
2019-06-01,46,PA,Pittsburgh ,Pittsburgh PA
2019-07-01,44,PA,Pittsburgh ,Pittsburgh PA
2019-08-01,47,PA,Pittsburgh ,Pittsburgh PA
2019-09-01,36,PA,Pittsburgh ,Pittsburgh PA
2019-10-01,39,PA,Pittsburgh ,Pittsburgh PA
2019-11-01,35,PA,Pittsburgh ,Pittsburgh PA
2019-12-01,37,PA,Pittsburgh ,Pittsburgh PA
2020-01-01,42,PA,Pittsburgh ,Pittsburgh PA
2020-02-01,40,PA,Pittsburgh ,Pittsburgh PA
2020-03-01,36,PA,Pittsburgh ,Pittsburgh PA
2020-04-01,37,PA,Pittsburgh ,Pittsburgh PA
2020-05-01,46,PA,Pittsburgh ,Pittsburgh PA
2020-06-01,47,PA,Pittsburgh ,Pittsburgh PA
2020-07-01,47,PA,Pittsburgh ,Pittsburgh PA
2020-08-01,46,PA,Pittsburgh ,Pittsburgh PA
2020-09-01,46,PA,Pittsburgh ,Pittsburgh PA
2020-10-01,39,PA,Pittsburgh ,Pittsburgh PA
2020-11-01,35,PA,Pittsburgh ,Pittsburgh PA
2020-12-01,35,PA,Pittsburgh ,Pittsburgh PA
