date,apartment,State,DMA,Full
2014-01-01,23,VA,Charlottesville ,Charlottesville VA
2014-02-01,24,VA,Charlottesville ,Charlottesville VA
2014-03-01,34,VA,Charlottesville ,Charlottesville VA
2014-04-01,37,VA,Charlottesville ,Charlottesville VA
2014-05-01,50,VA,Charlottesville ,Charlottesville VA
2014-06-01,42,VA,Charlottesville ,Charlottesville VA
2014-07-01,38,VA,Charlottesville ,Charlottesville VA
2014-08-01,32,VA,Charlottesville ,Charlottesville VA
2014-09-01,38,VA,Charlottesville ,Charlottesville VA
2014-10-01,36,VA,Charlottesville ,Charlottesville VA
2014-11-01,27,VA,Charlottesville ,Charlottesville VA
2014-12-01,18,VA,Charlottesville ,Charlottesville VA
2015-01-01,27,VA,Charlottesville ,Charlottesville VA
2015-02-01,16,VA,Charlottesville ,Charlottesville VA
2015-03-01,33,VA,Charlottesville ,Charlottesville VA
2015-04-01,38,VA,Charlottesville ,Charlottesville VA
2015-05-01,33,VA,Charlottesville ,Charlottesville VA
2015-06-01,32,VA,Charlottesville ,Charlottesville VA
2015-07-01,43,VA,Charlottesville ,Charlottesville VA
2015-08-01,39,VA,Charlottesville ,Charlottesville VA
2015-09-01,26,VA,Charlottesville ,Charlottesville VA
2015-10-01,26,VA,Charlottesville ,Charlottesville VA
2015-11-01,39,VA,Charlottesville ,Charlottesville VA
2015-12-01,26,VA,Charlottesville ,Charlottesville VA
2016-01-01,33,VA,Charlottesville ,Charlottesville VA
2016-02-01,27,VA,Charlottesville ,Charlottesville VA
2016-03-01,34,VA,Charlottesville ,Charlottesville VA
2016-04-01,45,VA,Charlottesville ,Charlottesville VA
2016-05-01,38,VA,Charlottesville ,Charlottesville VA
2016-06-01,43,VA,Charlottesville ,Charlottesville VA
2016-07-01,44,VA,Charlottesville ,Charlottesville VA
2016-08-01,41,VA,Charlottesville ,Charlottesville VA
2016-09-01,26,VA,Charlottesville ,Charlottesville VA
2016-10-01,35,VA,Charlottesville ,Charlottesville VA
2016-11-01,24,VA,Charlottesville ,Charlottesville VA
2016-12-01,23,VA,Charlottesville ,Charlottesville VA
2017-01-01,22,VA,Charlottesville ,Charlottesville VA
2017-02-01,27,VA,Charlottesville ,Charlottesville VA
2017-03-01,27,VA,Charlottesville ,Charlottesville VA
2017-04-01,45,VA,Charlottesville ,Charlottesville VA
2017-05-01,46,VA,Charlottesville ,Charlottesville VA
2017-06-01,38,VA,Charlottesville ,Charlottesville VA
2017-07-01,37,VA,Charlottesville ,Charlottesville VA
2017-08-01,25,VA,Charlottesville ,Charlottesville VA
