,date,inmigracion,State
309,2012-10-01,25,AZ
310,2012-11-01,29,AZ
311,2012-12-01,16,AZ
312,2013-01-01,29,AZ
313,2013-02-01,28,AZ
314,2013-03-01,53,AZ
315,2013-04-01,48,AZ
316,2013-05-01,38,AZ
317,2013-06-01,23,AZ
318,2013-07-01,28,AZ
319,2013-08-01,35,AZ
320,2013-09-01,37,AZ
321,2013-10-01,20,AZ
322,2013-11-01,36,AZ
323,2013-12-01,31,AZ
324,2014-01-01,36,AZ
325,2014-02-01,52,AZ
326,2014-03-01,35,AZ
327,2014-04-01,47,AZ
328,2014-05-01,31,AZ
329,2014-06-01,33,AZ
330,2014-07-01,29,AZ
331,2014-08-01,38,AZ
332,2014-09-01,27,AZ
333,2014-10-01,37,AZ
334,2014-11-01,45,AZ
335,2014-12-01,32,AZ
336,2015-01-01,29,AZ
337,2015-02-01,22,AZ
338,2015-03-01,35,AZ
339,2015-04-01,23,AZ
340,2015-05-01,31,AZ
341,2015-06-01,18,AZ
342,2015-07-01,23,AZ
343,2015-08-01,22,AZ
344,2015-09-01,37,AZ
345,2015-10-01,24,AZ
346,2015-11-01,11,AZ
347,2015-12-01,31,AZ
348,2016-01-01,34,AZ
349,2016-02-01,30,AZ
350,2016-03-01,20,AZ
351,2016-04-01,36,AZ
352,2016-05-01,35,AZ
353,2016-06-01,21,AZ
354,2016-07-01,48,AZ
355,2016-08-01,33,AZ
356,2016-09-01,28,AZ
357,2016-10-01,15,AZ
358,2016-11-01,24,AZ
359,2016-12-01,18,AZ
360,2017-01-01,29,AZ
361,2017-02-01,55,AZ
362,2017-03-01,40,AZ
363,2017-04-01,23,AZ
364,2017-05-01,14,AZ
365,2017-06-01,29,AZ
366,2017-07-01,40,AZ
367,2017-08-01,26,AZ
368,2017-09-01,30,AZ
369,2017-10-01,25,AZ
370,2017-11-01,19,AZ
371,2017-12-01,15,AZ
372,2018-01-01,30,AZ
373,2018-02-01,27,AZ
374,2018-03-01,39,AZ
375,2018-04-01,26,AZ
376,2018-05-01,25,AZ
377,2018-06-01,30,AZ
378,2018-07-01,19,AZ
379,2018-08-01,10,AZ
380,2018-09-01,14,AZ
381,2018-10-01,17,AZ
382,2018-11-01,15,AZ
383,2018-12-01,21,AZ
384,2019-01-01,23,AZ
385,2019-02-01,15,AZ
386,2019-03-01,28,AZ
387,2019-04-01,13,AZ
388,2019-05-01,16,AZ
389,2019-06-01,34,AZ
390,2019-07-01,24,AZ
391,2019-08-01,32,AZ
392,2019-09-01,15,AZ
393,2019-10-01,18,AZ
394,2019-11-01,15,AZ
395,2019-12-01,27,AZ
396,2020-01-01,19,AZ
397,2020-02-01,12,AZ
398,2020-03-01,4,AZ
399,2020-04-01,15,AZ
400,2020-05-01,13,AZ
401,2020-06-01,14,AZ
402,2020-07-01,20,AZ
403,2020-08-01,9,AZ
404,2020-09-01,9,AZ
405,2020-10-01,7,AZ
406,2020-11-01,10,AZ
407,2020-12-01,10,AZ
408,2004-01-01,76,WA
409,2004-02-01,100,WA
410,2004-03-01,0,WA
411,2004-04-01,0,WA
412,2004-05-01,0,WA
413,2004-06-01,0,WA
414,2004-07-01,0,WA
415,2004-08-01,0,WA
416,2004-09-01,0,WA
417,2004-10-01,0,WA
418,2004-11-01,0,WA
419,2004-12-01,15,WA
420,2005-01-01,0,WA
421,2005-02-01,0,WA
422,2005-03-01,0,WA
423,2005-04-01,0,WA
424,2005-05-01,0,WA
425,2005-06-01,9,WA
426,2005-07-01,0,WA
427,2005-08-01,0,WA
428,2005-09-01,0,WA
429,2005-10-01,0,WA
430,2005-11-01,7,WA
431,2005-12-01,8,WA
432,2006-01-01,0,WA
433,2006-02-01,0,WA
434,2006-03-01,0,WA
435,2006-04-01,0,WA
436,2006-05-01,0,WA
437,2006-06-01,6,WA
438,2006-07-01,0,WA
439,2006-08-01,0,WA
440,2006-09-01,0,WA
441,2006-10-01,0,WA
442,2006-11-01,0,WA
443,2006-12-01,0,WA
444,2007-01-01,0,WA
445,2007-02-01,0,WA
446,2007-03-01,0,WA
447,2007-04-01,0,WA
448,2007-05-01,0,WA
449,2007-06-01,0,WA
450,2007-07-01,0,WA
451,2007-08-01,5,WA
452,2007-09-01,6,WA
453,2007-10-01,0,WA
454,2007-11-01,0,WA
455,2007-12-01,0,WA
456,2008-01-01,0,WA
457,2008-02-01,6,WA
458,2008-03-01,0,WA
459,2008-04-01,0,WA
460,2008-05-01,5,WA
461,2008-06-01,0,WA
462,2008-07-01,0,WA
463,2008-08-01,5,WA
464,2008-09-01,0,WA
465,2008-10-01,3,WA
466,2008-11-01,0,WA
467,2008-12-01,0,WA
468,2009-01-01,0,WA
469,2009-02-01,4,WA
470,2009-03-01,4,WA
471,2009-04-01,6,WA
472,2009-05-01,0,WA
473,2009-06-01,8,WA
474,2009-07-01,4,WA
475,2009-08-01,5,WA
476,2009-09-01,6,WA
477,2009-10-01,4,WA
478,2009-11-01,3,WA
479,2009-12-01,9,WA
480,2010-01-01,0,WA
481,2010-02-01,0,WA
482,2010-03-01,0,WA
483,2010-04-01,5,WA
484,2010-05-01,0,WA
485,2010-06-01,0,WA
486,2010-07-01,0,WA
487,2010-08-01,0,WA
488,2010-09-01,6,WA
489,2010-10-01,0,WA
490,2010-11-01,8,WA
491,2010-12-01,6,WA
492,2011-01-01,2,WA
493,2011-02-01,4,WA
494,2011-03-01,2,WA
495,2011-04-01,0,WA
496,2011-05-01,3,WA
497,2011-06-01,2,WA
498,2011-07-01,0,WA
499,2011-08-01,1,WA
500,2011-09-01,0,WA
501,2011-10-01,5,WA
502,2011-11-01,0,WA
503,2011-12-01,7,WA
504,2012-01-01,2,WA
505,2012-02-01,3,WA
506,2012-03-01,4,WA
507,2012-04-01,5,WA
508,2012-05-01,4,WA
509,2012-06-01,3,WA
510,2012-07-01,4,WA
511,2012-08-01,5,WA
512,2012-09-01,2,WA
513,2012-10-01,4,WA
514,2012-11-01,1,WA
515,2012-12-01,2,WA
516,2013-01-01,3,WA
517,2013-02-01,5,WA
518,2013-03-01,2,WA
519,2013-04-01,6,WA
520,2013-05-01,3,WA
521,2013-06-01,5,WA
522,2013-07-01,3,WA
523,2013-08-01,4,WA
524,2013-09-01,3,WA
525,2013-10-01,6,WA
526,2013-11-01,5,WA
527,2013-12-01,3,WA
528,2014-01-01,2,WA
529,2014-02-01,5,WA
530,2014-03-01,4,WA
531,2014-04-01,5,WA
532,2014-05-01,6,WA
533,2014-06-01,0,WA
534,2014-07-01,0,WA
535,2014-08-01,6,WA
536,2014-09-01,4,WA
537,2014-10-01,3,WA
538,2014-11-01,11,WA
539,2014-12-01,5,WA
540,2015-01-01,7,WA
541,2015-02-01,7,WA
542,2015-03-01,4,WA
543,2015-04-01,4,WA
544,2015-05-01,4,WA
545,2015-06-01,5,WA
546,2015-07-01,2,WA
547,2015-08-01,5,WA
548,2015-09-01,3,WA
549,2015-10-01,5,WA
550,2015-11-01,2,WA
551,2015-12-01,6,WA
552,2016-01-01,8,WA
553,2016-02-01,2,WA
554,2016-03-01,4,WA
555,2016-04-01,5,WA
556,2016-05-01,6,WA
557,2016-06-01,5,WA
558,2016-07-01,2,WA
559,2016-08-01,2,WA
560,2016-09-01,6,WA
561,2016-10-01,0,WA
562,2016-11-01,2,WA
563,2016-12-01,4,WA
564,2017-01-01,7,WA
565,2017-02-01,9,WA
566,2017-03-01,5,WA
567,2017-04-01,3,WA
568,2017-05-01,4,WA
569,2017-06-01,4,WA
570,2017-07-01,3,WA
571,2017-08-01,2,WA
572,2017-09-01,3,WA
573,2017-10-01,4,WA
574,2017-11-01,2,WA
575,2017-12-01,2,WA
576,2018-01-01,3,WA
577,2018-02-01,5,WA
578,2018-03-01,4,WA
579,2018-04-01,5,WA
580,2018-05-01,3,WA
581,2018-06-01,1,WA
582,2018-07-01,0,WA
583,2018-08-01,5,WA
584,2018-09-01,4,WA
585,2018-10-01,3,WA
586,2018-11-01,1,WA
587,2018-12-01,1,WA
588,2019-01-01,4,WA
589,2019-02-01,3,WA
590,2019-03-01,2,WA
591,2019-04-01,2,WA
592,2019-05-01,2,WA
593,2019-06-01,5,WA
594,2019-07-01,3,WA
595,2019-08-01,2,WA
596,2019-09-01,1,WA
597,2019-10-01,3,WA
598,2019-11-01,2,WA
599,2019-12-01,2,WA
600,2020-01-01,3,WA
601,2020-02-01,3,WA
602,2020-03-01,2,WA
603,2020-04-01,1,WA
604,2020-05-01,2,WA
605,2020-06-01,3,WA
606,2020-07-01,1,WA
607,2020-08-01,2,WA
608,2020-09-01,1,WA
609,2020-10-01,1,WA
610,2020-11-01,0,WA
611,2020-12-01,2,WA
612,2004-01-01,0,AL
613,2004-02-01,0,AL
614,2004-03-01,0,AL
615,2004-04-01,0,AL
616,2004-05-01,0,AL
617,2004-06-01,0,AL
618,2004-07-01,0,AL
619,2004-08-01,0,AL
620,2004-09-01,0,AL
621,2004-10-01,100,AL
622,2004-11-01,55,AL
623,2004-12-01,0,AL
624,2005-01-01,0,AL
625,2005-02-01,80,AL
626,2005-03-01,0,AL
627,2005-04-01,0,AL
628,2005-05-01,0,AL
629,2005-06-01,52,AL
630,2005-07-01,0,AL
631,2005-08-01,40,AL
632,2005-09-01,0,AL
633,2005-10-01,0,AL
634,2005-11-01,0,AL
635,2005-12-01,0,AL
636,2006-01-01,0,AL
637,2006-02-01,0,AL
638,2006-03-01,35,AL
639,2006-04-01,0,AL
640,2006-05-01,0,AL
641,2006-06-01,0,AL
642,2006-07-01,0,AL
643,2006-08-01,45,AL
644,2006-09-01,0,AL
645,2006-10-01,0,AL
646,2006-11-01,0,AL
647,2006-12-01,0,AL
648,2007-01-01,0,AL
649,2007-02-01,39,AL
650,2007-03-01,0,AL
651,2007-04-01,0,AL
652,2007-05-01,0,AL
653,2007-06-01,18,AL
654,2007-07-01,23,AL
655,2007-08-01,0,AL
656,2007-09-01,0,AL
657,2007-10-01,0,AL
658,2007-11-01,0,AL
659,2007-12-01,0,AL
660,2008-01-01,15,AL
661,2008-02-01,14,AL
662,2008-03-01,0,AL
663,2008-04-01,0,AL
664,2008-05-01,0,AL
665,2008-06-01,0,AL
666,2008-07-01,14,AL
667,2008-08-01,0,AL
