,date,immigration enforcement,State,DMA,Full
2106,2009-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2107,2009-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2108,2009-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2109,2009-10-01,8,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2110,2009-11-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2111,2009-12-01,9,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2112,2010-01-01,14,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2113,2010-02-01,11,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2114,2010-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2115,2010-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2116,2010-05-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2117,2010-06-01,11,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2118,2010-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2119,2010-08-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2120,2010-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2121,2010-10-01,15,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2122,2010-11-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2123,2010-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2124,2011-01-01,10,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2125,2011-02-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2126,2011-03-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2127,2011-04-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2128,2011-05-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2129,2011-06-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2130,2011-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2131,2011-08-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2132,2011-09-01,9,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2133,2011-10-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2134,2011-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2135,2011-12-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2136,2012-01-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2137,2012-02-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2138,2012-03-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2139,2012-04-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2140,2012-05-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2141,2012-06-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2142,2012-07-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2143,2012-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2144,2012-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2145,2012-10-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2146,2012-11-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2147,2012-12-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2148,2013-01-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2149,2013-02-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2150,2013-03-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2151,2013-04-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2152,2013-05-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2153,2013-06-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2154,2013-07-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2155,2013-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2156,2013-09-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2157,2013-10-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2158,2013-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2159,2013-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2160,2014-01-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2161,2014-02-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2162,2014-03-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2163,2014-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2164,2014-05-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2165,2014-06-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2166,2014-07-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2167,2014-08-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2168,2014-09-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2169,2014-10-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2170,2014-11-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2171,2014-12-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2172,2015-01-01,8,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2173,2015-02-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2174,2015-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2175,2015-04-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2176,2015-05-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
